Tipo,Texto,Caracteres,Limite,Status
Título,"Consórcio de Automóveis",23,30,Rascunho - revisar antes de publicar
Título,"Seu Próximo Carro com Plano",27,30,Rascunho - revisar antes de publicar
Título,"Planeje a Compra do Seu Carro",29,30,Rascunho - revisar antes de publicar
Título,"Consórcio Não É Financiamento",29,30,Rascunho - revisar antes de publicar
Título,"Crédito por Sorteio ou Lance",28,30,Rascunho - revisar antes de publicar
Título,"Planejamento Sem Compromisso",28,30,Rascunho - revisar antes de publicar
Título,"Converse com um Consultor",25,30,Rascunho - revisar antes de publicar
Título,"Entenda as Condições do Plano",29,30,Rascunho - revisar antes de publicar
Título,"Seu Orçamento Primeiro",22,30,Rascunho - revisar antes de publicar
Título,"Entenda as Regras do Lance",26,30,Rascunho - revisar antes de publicar
Título,"Atendimento Consórcio Lidera",28,30,Rascunho - revisar antes de publicar
Título,"Planeje Seu Próximo Carro",25,30,Rascunho - revisar antes de publicar
Título,"Conheça o Consórcio de Carro",28,30,Rascunho - revisar antes de publicar
Título,"Decida com Mais Informação",26,30,Rascunho - revisar antes de publicar
Título,"Compra com Planejamento",23,30,Rascunho - revisar antes de publicar
Descrição,"Consórcio de automóvel para compra planejada. Conheça taxas e condições antes de decidir.",89,90,Rascunho - revisar antes de publicar
Descrição,"Contemplação por sorteio ou lance, sem data garantida. Converse sobre seu objetivo.",83,90,Rascunho - revisar antes de publicar
Descrição,"Informe crédito desejado e orçamento mensal. Receba orientação sem compromisso.",79,90,Rascunho - revisar antes de publicar
Descrição,"Precisa comprar agora? Entenda primeiro se o consórcio combina com seu momento.",79,90,Rascunho - revisar antes de publicar
